;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30
C_t [kg/Ns];1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05;1.1262528167311676e-05
Oswald factor [-];0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85
CD_0 [-];0.018145549354744026;0.018137103064583375;0.01813409935125591;0.01812788817898385;0.018126850911111953;0.018114459790175123;0.01810946340885516;0.018101638994645678;0.01809684623601118;0.018090675753474998;0.018085407753824386;0.018080652631115135;0.018074280148540314;0.0180649088935607;0.01806081645332103;0.018056621043492874;0.01804697040727974;0.018044265803756915;0.018038445721110543;0.01803007538959279;0.018028648740937948;0.018019453696188865;0.018013322898366785;0.01801116618770458;0.018005846941428514;0.018001056389456847;0.01799150082504143;0.017988288212253508;0.017982463332748274;0.017977883185661358
Aspect ratio [-];15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0
Surface area [m^2];229.71223756295433;229.81560640596572;229.98779518474583;230.10352227408518;230.13585242380876;230.40204256518894;230.4849041443025;230.6883944121341;230.8100316063772;230.97093748688883;231.10812483625645;231.23328246049434;231.3519339701882;231.5924987192813;231.70086103496905;231.81306890309492;232.0155870638182;232.13390010763683;232.2422287834581;232.41205747500868;232.54886558395512;232.69314031329486;232.85416357564003;232.91358183504173;233.10203501226766;233.18423188678582;233.43116370864647;233.5178051117236;233.67207179730292;233.79656788124575
Span [m];58.69994517411677;58.713150963727756;58.735142187375246;58.74991773705966;58.75404485103244;58.78801441176453;58.798584695250426;58.82453498483444;58.840041418201416;58.86054758752532;58.87802537911616;58.89396604837727;58.90907408500683;58.939693592597;58.95348094493264;58.96775418435421;58.993506472808285;59.008546004918244;59.02231299899955;59.043889286912076;59.06126466440866;59.0795828074253;59.10002075832631;59.10756066296109;59.13146814669847;59.141892752107516;59.173198794975555;59.18417927686295;59.203725194953265;59.21949441036023
Root chord [m];5.962108176232546;5.963449478102246;5.965683109733844;5.967183850923984;5.967603038708374;5.971053300802881;5.972126916347314;5.974762667253819;5.976337643736117;5.978420439544982;5.980195645362248;5.981814726849536;5.983349238482361;5.986459238261988;5.98785960900927;5.989309330933273;5.99192497101766;5.9934525246992445;5.9948508276743295;5.997042314603226;5.998807118299894;6.0006676779636035;6.0027435448798485;6.0035093671806665;6.00593763187224;6.006996451006721;6.010176181645233;6.011291460725061;6.013276724556442;6.014878391607949
Tip chord [m];1.864551180316357;1.86497065039479;1.8656691819161888;1.8661385140173037;1.8662696080959509;1.8673486207657242;1.8676843763527426;1.8685086640574402;1.8690012120240713;1.86965257212506;1.8702077385199074;1.8707140796007662;1.8711939728518816;1.8721665740842783;1.8726045169817476;1.873057893647288;1.8738758920234442;1.874353609289855;1.8747909055256107;1.8754762569850507;1.876028170287927;1.8766100296931032;1.8772592228969927;1.8774987212141474;1.8782581210208875;1.8785892492742808;1.8795836576848426;1.8799324428566657;1.8805533014373264;1.8810541964400818
Quarter chord sweep [deg];0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824;0.4363323129985824
Taper ratio [-];0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353;0.31273353740028353
Mean aerodynamic chord [m];4.27086777488125;4.271828596584305;4.273428625479181;4.274503659174973;4.274803938127829;4.277275482212364;4.2780445507860625;4.2799326318601505;4.281060842906581;4.282552822796714;4.283824465157879;4.284984270170564;4.286083494822163;4.288311297043472;4.289314431861001;4.290352918662104;4.292226593647007;4.29332083407342;4.294322487673001;4.295892326835095;4.297156517791431;4.298489302114711;4.2999763185953706;4.300524904043533;4.302264355444543;4.303022824829401;4.305300577717373;4.306099491346789;4.307521605651236;4.308668936091103
Dihedral [deg];-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002;-1.5000000000000002
Thickness over chord [-];0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13
Leading edge root location [m];18.38882645235506;18.392447886925936;18.387197837969705;18.390093339803858;18.388923962570793;18.385870674699685;18.385184966249543;18.381709803256044;18.381649143316963;18.380489201299973;18.379958439946094;18.37937422672858;18.378802697410535;18.375098332928523;18.37549689708237;18.374846244545896;18.3731331567596;18.371554685779895;18.372609204885897;18.369715520136072;18.367662577888925;18.36996967444163;18.365893951367266;18.36627107537532;18.364367296861733;18.366250131643717;18.36223455141405;18.362918417261398;18.361666468925545;18.361199909185657
Fuselage length [m];48.58045802357975;48.58081156317852;48.581751930161516;48.5830776235525;48.584182411648335;48.58486534638903;48.585640687305755;48.587032393708654;48.58736882602905;48.58848693394432;48.58938557768148;48.590397040063735;48.59128904019382;48.5921183029009;48.59303478131474;48.59413473555523;48.595111791509964;48.59563516573051;48.59700720262253;48.59780298491498;48.598910219564665;48.59978613407837;48.600627815242234;48.6014014490197;48.60236642472199;48.603622071069935;48.60409337036154;48.60486200099311;48.60572734203514;48.60692518496682
Fuselage outer diameter [m];6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875;6.2877186341350875
Nosecone length [m];7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414;7.7548529820999414
Tailcone length [m];13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193;13.832980995097193
Cabin length [m];35.08194145456909;35.08229499416786;35.083235361150855;35.08456105454184;35.085665842637674;35.08634877737837;35.087124118295094;35.08851582469799;35.08885225701839;35.089970364933656;35.09086900867082;35.091880471053074;35.09277247118316;35.09360173389024;35.09451821230408;35.09561816654457;35.0965952224993;35.09711859671985;35.09849063361187;35.09928641590432;35.100393650554004;35.10126956506771;35.10211124623157;35.102884880009036;35.10384985571133;35.105105502059274;35.10557680135088;35.10634543198245;35.10721077302448;35.10840861595616
Forward cg [%MAC];0.05416078794240742;0.05402003551718748;0.05490855981512677;0.054119941286059986;0.054843600664297915;0.05484621271647211;0.05501170211993836;0.05599953738909805;0.055569806213636025;0.05577955662677378;0.05587262255551939;0.055268116737105355;0.05576023589753368;0.056292112265804106;0.05588308959841748;0.056056641478494956;0.056303571583417006;0.05653729393554488;0.05609044428846496;0.05692287354989306;0.05693747761147128;0.05652629921193614;0.057212178320943746;0.056838204623015615;0.057120382194769226;0.05654033440821837;0.05705746275953788;0.05660010306077648;0.05679614604654393;0.056937415101937394
Aft cg [%MAC];0.8133473806963616;0.8132097226968084;0.813687471915574;0.8128269904416793;0.8137326759186403;0.8129893572645044;0.8130552387345023;0.8137857958102199;0.8129748970026551;0.8129523096336434;0.8128255475997817;0.811888456838893;0.8123076490547493;0.8122608388130217;0.8116582510727725;0.8117207002222238;0.8115846585648195;0.8115412278120845;0.8110203691373356;0.811574612395119;0.8112936007913754;0.8107232480306383;0.8110356134671236;0.8105621805436816;0.8104777156254306;0.8098838175188715;0.8097396147020405;0.8091179657739072;0.8090277756809803;0.8090596474792395
Horizontal tail surface area [m^2];51.73636953613093;51.66771509157025;51.79843131873663;51.778470358705036;51.78574536989396;51.799559124566926;51.77208667947829;51.817795164481765;51.84511761055337;51.88126068562379;51.91207604582778;51.94018925955298;51.920566039514185;51.97455416802353;51.99887310355741;52.02405506736123;52.02309692940098;52.09605678983269;52.07391508475978;52.06550742514446;52.18918435547508;52.12847627780583;52.16454909585295;52.17786011706105;52.26670292004241;52.23849179181921;52.29381005174198;52.31321966699278;52.3477788604819;52.37566877227628
Horizontal tail leading edge root position [m];43.44274385225908;43.44650741087588;43.440957139374;43.443273452408754;43.4440171751886;43.444014590713856;43.44615336476965;43.445276799155046;43.44425783970674;43.44358353717845;43.44295447597556;43.44257259074571;43.444437117509636;43.44259117144863;43.44230305681837;43.4421559663395;43.44318046505078;43.44009243861253;43.44256018836032;43.4437720963207;43.43876149348686;43.44263950379652;43.441697125144614;43.441812589179975;43.43838683885152;43.44103631095708;43.438774858157146;43.43858498582587;43.43774413395276;43.43756545809007
Horizontal tail leading edge sweep [deg];36.8005815297148;36.8005815297148;36.800581529714805;36.800581529714805;36.800581529714805;36.800581529714805;36.800581529714805;36.8005815297148;36.8005815297148;36.800581529714805;36.8005815297148;36.8005815297148;36.800581529714805;36.8005815297148;36.8005815297148;36.8005815297148;36.8005815297148;36.800581529714805;36.800581529714805;36.8005815297148;36.8005815297148;36.8005815297148;36.8005815297148;36.800581529714805;36.8005815297148;36.8005815297148;36.8005815297148;36.800581529714805;36.800581529714805;36.800581529714805
Horizontal tail mean aerodynamic chord [m];3.816587670123927;3.8140545131391064;3.8188761302992997;3.818140241421069;3.8184084613700895;3.8189177042158424;3.817904868169678;3.819589870239825;3.820596732696575;3.821928237597502;3.8230631041243974;3.8240981623505323;3.823375713993963;3.825363011935971;3.8262578524830193;3.8271842285602555;3.8271489853696816;3.8298317401447872;3.8290177820233575;3.8287086600986058;3.8332533393720833;3.831023211066519;3.8323485126439456;3.83283743873808;3.836099120932349;3.8350637075124046;3.8370937519232644;3.837805782695663;3.8390732402897636;3.8400957971084413
Horizontal tail arm [m];30.413610538863374;30.400268228647462;30.410704205631916;30.40849717183326;30.409254722793033;30.412102435998456;30.411064148225613;30.415681973948715;30.41654535497046;30.419505613730273;30.421760593437874;30.42332271214294;30.422683330628885;30.427066088802274;30.428470297197848;30.43017765852158;30.43144070667493;30.43710629492612;30.434183456260946;30.43538342630582;30.443731547131414;30.43884907760676;30.442840495015997;30.443186347861065;30.447996552889485;30.446867286758458;30.45105060122661;30.451341007510614;30.454574248069527;30.456372911192613
Horizontal tail root chord [m];5.137714171320671;5.134304152302644;5.140794790787519;5.139804171143747;5.140165236459736;5.140850755675173;5.139487322536105;5.141755594553611;5.143110986322313;5.1449033967658675;5.14643110170592;5.1478244493180245;5.146851922684181;5.149527131452269;5.150731724496373;5.151978769215728;5.151931326459187;5.155542727117983;5.154447014262212;5.154030888594277;5.1601487260778045;5.1571466302818525;5.158930690097619;5.159588859839723;5.16397958587047;5.162585760112853;5.1653185122043945;5.166277015167238;5.167983208082374;5.169359726876748
Horizontal tail tip chord [m];2.055085668528269;2.0537216609210573;2.0563179163150074;2.055921668457499;2.0560660945838944;2.056340302270069;2.0557949290144424;2.0567022378214443;2.0572443945289254;2.057961358706347;2.058572440682368;2.05912977972721;2.0587407690736725;2.0598108525809073;2.060292689798549;2.0607915076862913;2.060772530583675;2.0622170908471933;2.061778805704885;2.061612355437711;2.064059490431122;2.062858652112741;2.063572276039048;2.0638355439358893;2.065591834348188;2.0650343040451413;2.0661274048817577;2.0665108060668955;2.0671932832329496;2.0677438907506995
Horizontal tail span [m];14.38559967969788;14.376051626447403;14.39422541420505;14.39145167920249;14.392462662087258;14.39438211589048;14.390564503101091;14.396915664750109;14.400710761702475;14.405729510944427;14.410007084776577;14.413908458090468;14.411185383515706;14.418675968066351;14.422048828589842;14.425540553804039;14.425407714085724;14.435519635930351;14.432451639934191;14.431286488063975;14.448416433017853;14.440010564789187;14.445005932273334;14.446848807551223;14.459142840437314;14.455240128315989;14.462891834172304;14.465575642468263;14.470352982630645;14.474207235254893
Vertical tail surface area [m^2];55.405760207951595;55.28283369776963;55.42333590572222;55.401103753117695;55.40904596332283;55.42378804126963;55.39432834059838;55.44343695779663;55.47238301782231;55.51088710673838;55.543631711151626;55.57352113160908;55.55234868687643;55.610267212914074;55.63594381569426;55.662735840459014;55.66155788430778;55.73964974573762;55.715481439517546;55.706651198903295;55.83905748232378;55.77327401298174;55.81230452041795;55.82632218299426;55.92129910046164;55.89052603967569;55.94992170235127;55.97033277290837;56.00718983476676;56.036814941084955
Vertical tail leading edge root position [m];41.213674960094565;41.22220522876729;41.213800521672546;41.216604129083606;41.21718091340048;41.216883884621105;41.2196176569923;41.217744994284374;41.21615798883852;41.21471831477232;41.21344247028814;41.212469609653766;41.214767168029496;41.21175207506564;41.210964903487735;41.21028761822834;41.21134280449789;41.20668836673431;41.209662474068644;41.211043682660915;41.20337752272364;41.20861102484024;41.20686696159932;41.20671215550284;41.20138953866738;41.20468181556794;41.201222678913815;41.20064111339503;41.199068976383934;41.198308195487066
Vertical tail leading edge sweep [deg];44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225
Vertical tail mean aerodynamic chord [m];6.168750666292138;6.161903688107991;6.169729007714504;6.168491441327993;6.168933577825729;6.169754173541023;6.168114234474605;6.1708477314371;6.172458367708028;6.174600187165235;6.176421046494017;6.178082666474609;6.17690568891336;6.180124851389322;6.181551443150088;6.183039656832312;6.182974232558598;6.187309996331162;6.185968464617344;6.185478244008708;6.192824854223446;6.189175924806478;6.191341159262603;6.19211861042977;6.197383675292198;6.1956782543547035;6.198969498192084;6.200100116988695;6.2021411970958065;6.2037812972512265
Vertical tail root chord [m];7.366783063485183;7.358606334411232;7.367951408488973;7.366473494468894;7.367001498247855;7.367981461767928;7.36602303031346;7.369287399424282;7.371210837190529;7.373768619171995;7.375943107393338;7.377927430409967;7.376521872164327;7.380366227835259;7.382069877827004;7.383847117326887;7.383768987012077;7.388946798996201;7.3873447285538845;7.386759302254066;7.395532696841027;7.391175109238135;7.393760853642915;7.394689293516854;7.4009768860546155;7.398940255501999;7.402870691447724;7.404220887598079;7.406658365651204;7.408616989479753
Vertical tail tip chord [m];4.788408991265369;4.783094117367301;4.789168415517833;4.788207771404782;4.788550973861105;4.789187950149153;4.787914969703749;4.790036809625783;4.791287044173844;4.792949602461797;4.79436301980567;4.795652829766478;4.794739216906812;4.797238048092918;4.798345420587553;4.799500626262477;4.79944984155785;4.802815419347531;4.801774073560025;4.801393546465143;4.807096252946668;4.804263821004787;4.805944554867895;4.806548040785955;4.8106349759355;4.8093111660762995;4.811865949441021;4.812743576938751;4.814327937673283;4.8156010431618395
Vertical tail span [m];9.116394041062913;9.1062753388339;9.117839868005104;9.116010949405258;9.116664354081719;9.117877058937813;9.115453500012908;9.11949315678755;9.121873411023278;9.125038666225342;9.127729595399254;9.13018519513233;9.128445816803353;9.133203206946133;9.135311473810917;9.137510807692022;9.137414121427444;9.143821663757798;9.14183910158543;9.141114636539404;9.151971712340773;9.146579197682192;9.149779056383107;9.150928000727106;9.158708896492588;9.156188566183722;9.161052480666559;9.162723348402622;9.165739727493365;9.168163524481194
Take off thrust [N];373282.38603980077;373450.3604096943;373730.167175212;373918.2236953884;373970.7601886892;374403.31916843203;374537.9692344916;374868.6409197179;375066.30136036297;375327.77341619437;375550.7028589167;375754.0839983033;375946.89270155586;376337.8104188321;376513.8991818247;376696.2369675292;377025.3289787046;377217.58767490985;377393.62177311943;377669.5933968891;377891.9065739271;378126.35300910415;378388.01581041503;378484.5704819428;378790.80689493497;378924.376816027;379325.6410265505;379466.43330655084;379717.11667061725;379919.4228070243
Cruise Mach number [-];0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775
Cruise velocity [m/s];235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397
Cruise altitude [m];9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0
Cruise fuel consumption [kg/km/pas];0.007942270002004401;0.007958424466239249;0.007954315355291041;0.007953279366494476;0.007949357610719732;0.007971164959145786;0.00796141456282701;0.007955815249901818;0.007972645122680578;0.007973145639071824;0.007962699857598893;0.007982201820360234;0.008004028127363498;0.007999673118682033;0.0080084896530763;0.008004754089803128;0.007991425769708679;0.008010749772612015;0.008014488106025617;0.008007626119902599;0.00802506988955106;0.008022405878835476;0.008027957370231948;0.008027455876099618;0.008044159311087578;0.008006148162844612;0.008029960427286688;0.008035497497968867;0.00803313094772291;0.0080425302187375
Mission fuel consumption [kg/km/pas];0.018082646249318123;0.018070992699674545;0.018096907541371204;0.018098723250612615;0.018072139110574367;0.018122160348713192;0.018111522317574864;0.01814240061729952;0.01813681855389623;0.018159471962527332;0.018162775791695153;0.018172611072304855;0.018174659110716525;0.01821054272746142;0.018214190727911358;0.01821321606543118;0.01824643864499112;0.01824067738536012;0.018249483128033754;0.01826525099393607;0.018276046654439975;0.018287383172293805;0.018297396683994903;0.018279702922102743;0.018304387765029524;0.01830367074749036;0.01834257062125124;0.018336954460365484;0.018341372144303196;0.018348832675497393
Fuel consumption reduction [%];22.134607823486263;21.976230723144617;22.01651612459764;22.02667287750514;22.065121463532044;21.851323929943277;21.946916050715593;22.001811275472384;21.836812522739436;21.831905499295846;21.934315121579484;21.743119408233003;21.529136006240222;21.57183216978399;21.485395558075492;21.522018727420324;21.65268853226786;21.463237523411614;21.426587195827285;21.49386156958237;21.322844220087646;21.34896197220122;21.294535585961306;21.299452195101797;21.13569302855316;21.50835134466067;21.27489777169914;21.220612765011115;21.243814238010692;21.151664522181377
Total fuel consumption reduction [%];49.06296831177993;49.09579521218438;49.02279565810929;49.017680984189816;49.09256588570601;48.9516609895403;48.981627274437;48.89464614845205;48.91037027071484;48.84655785203568;48.83725129099956;48.80954627519759;48.80377715291119;48.70269654236219;48.69242048475674;48.69516601286992;48.601581281715156;48.61781018208416;48.59300527314435;48.548588749475854;48.518178438197246;48.48624458508787;48.458037509873506;48.507879092668325;48.43834432386049;48.44036409157645;48.33078698239087;48.34660715390003;48.334162973793816;48.313147392965085
RF reduction [%];36.747931983700056;36.61927817688013;36.652003048373686;36.660253640938265;36.69148641984717;36.51781316452446;36.595465111761904;36.64005791985071;36.506025173867606;36.502039072058636;36.58522905175492;36.4299158384393;36.256091597414155;36.29077479318338;36.220560102291046;36.25031004810935;36.35645650358672;36.20256055876483;36.172788551607546;36.22743726197254;36.088515454480884;36.109731578704285;36.065519620244935;36.06951350876294;35.93648771063499;36.23920768029543;36.04956731680588;36.00547020460597;36.02431736002673;35.94946176718381
DOC reduction [%];17.654759780768796;17.59140894063214;17.607523101213346;17.611585802376347;17.62696523678711;17.541446223351603;17.57968307166053;17.601641161563244;17.535641660470063;17.53367885109263;17.574642700006084;17.498164414667492;17.41257105387038;17.42964951928789;17.39507487460449;17.40972414234242;17.461992064281436;17.386211660738937;17.371551529705204;17.39846127920724;17.33005433940935;17.34050144025478;17.318730885758814;17.32069752941501;17.255193862795554;17.40425718923856;17.31087576005395;17.28916175737874;17.298442346578568;17.261582460246842
Take off weight [N];1482821.4131707365;1483332.7834200328;1484572.9523060604;1485310.8899228629;1485740.4317146558;1487169.5591028314;1487764.9679329928;1488991.32023185;1489751.6903396267;1490808.4875481084;1491682.014440586;1492570.3994297993;1493324.6608526027;1494664.0681143103;1495471.0727044349;1496250.3174505553;1497424.2045897716;1498243.3853823964;1499020.3761898312;1499997.6829231405;1501046.061434584;1501861.3734405506;1502836.1309613734;1503379.0508161504;1504573.0028489206;1505230.8731316298;1506602.0237774262;1507281.9903895415;1508207.9957906087;1509076.7409200503
Payload weight [N];472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004
Fuel weight [N];168061.5154046171;167981.08647120735;168204.5288625757;168231.6797899231;168025.633876962;168449.59337585457;168374.89530061584;168640.94934250577;168610.41933544778;168806.89452037346;168848.15830176062;168939.59205812984;168968.89740209197;169278.53251221846;169319.31432504958;169324.0698420645;169608.5022029746;169576.19051321145;169657.63985581894;169800.80837060043;169901.10702700098;170006.49852075425;170103.31436595423;169970.37381046312;170185.92490791928;170189.38303542347;170523.51200944095;170488.8307274284;170540.76957236885;170613.40312284124
Empty weight [N];842274.6525161194;842866.4516988255;843883.1781934844;844593.9648829396;845229.5525876936;846234.7204769768;846904.8273823771;847865.1256393443;848656.0257541789;849516.3477777349;850348.6108888255;851145.5621216694;851870.5182005109;852900.2903520919;853666.5131293854;854441.0023584907;855330.457136797;856181.9496191847;856877.4910840122;857711.6293025401;858659.7091575828;859369.6296697964;860247.5713454192;860923.4317556871;861901.8326910014;862556.2448462062;863593.2665179854;864307.9144121129;865181.9809682397;865978.0925472091
Wing weight [N];196711.79673422972;196829.5153623713;197036.51998042237;197158.08135382956;197224.0798802693;197492.35958712327;197600.71797805716;197825.47737800755;197965.64915461457;198140.6508049616;198303.02999812982;198450.97800496468;198581.37082125852;198841.56504499915;198974.47383735157;199105.04682517026;199321.7500238327;199463.66284523314;199586.992922892;199773.3477783014;199945.68701881653;200099.52447735064;200280.10020052726;200366.34800955962;200578.87347636747;200678.6721691655;200944.74476496878;201048.5421132336;201231.21082401212;201375.44810376887
Empennage weight [N];41815.2588497877;41724.438060590466;41852.19628203092;41832.30752018247;41839.478479152756;41852.93170910643;41826.1088785836;41870.78344382972;41897.29423275907;41932.47104852157;41962.426089952736;41989.76540383002;41970.532523178525;42023.28993486749;42046.85864694573;42071.36486461295;42070.355738894825;42141.5971198295;42119.74790705204;42111.61958440374;42232.43019947789;42172.73938361151;42208.17789654907;42221.07001454909;42307.82013558624;42279.97308777325;42334.12245136798;42352.91700657084;42386.63376997768;42413.78944002621
Fuselage weight [N];202873.75033451954;202831.32635336404;202871.67349088253;202872.11533564507;202881.14572522376;202894.6653637731;202895.76610901888;202919.3633821965;202924.22409589906;202940.6815862785;202953.4945102318;202964.66071878438;202967.78007735815;202987.2826516789;202997.36335356676;203009.53589711306;203019.50283915235;203041.483036983;203039.81424731013;203048.50370205133;203082.87081997885;203071.74428057155;203090.01587123462;203095.7264443052;203117.45546795626;203121.085464426;203137.81562055377;203143.31242603663;203159.1949369691;203172.25158085715
Nacelle weight [N];24263.355092587055;24274.27342663013;24292.46086638878;24304.684540200247;24308.099412264797;24336.215745948084;24344.96800024195;24366.461659781664;24379.30958842359;24396.305272052636;24410.79568582959;24424.015459889713;24436.548025601136;24461.95767722409;24473.403446818607;24485.2554028894;24506.646383615796;24519.143198869144;24530.585415252765;24548.52357079779;24562.97392730526;24578.212945591767;24595.221027676977;24601.49708132628;24621.40244817077;24630.084493041755;24656.16666672578;24665.318164925804;24681.612583590122;24694.762482456583
Propulsion system weight [N];64549.660198634854;64538.56369665476;64521.321354419015;64509.311411061324;64505.22113884935;64478.83133262706;64469.90471593659;64449.53510112122;64436.699240151174;64420.54372752165;64406.33246516728;64393.55461201191;64381.24214406257;64357.13522271937;64345.93937319913;64334.217990679164;64314.00630988864;64301.513691243774;64290.46458117422;64273.18571358488;64259.21791832956;64244.48412516049;64227.967096444074;64221.29536404548;64202.316130313215;64193.732676038264;64169.03452577963;64159.85112383233;64143.88655569842;64131.111947789126
